source,lun_bawang,english,type
borneodictionary.com,abpa,"jump down, drop from above",word
borneodictionary.com,abpa,water,word
borneodictionary.com,aceh,"one, 1",word
borneodictionary.com,aco,day,word
borneodictionary.com,aco dueh,Tuesday,word
borneodictionary.com,aco enem,Saturday,word
borneodictionary.com,aco epat,Thursday,word
borneodictionary.com,aco limeh,Friday,word
borneodictionary.com,aco migu,Sunday,word
borneodictionary.com,aco satu,Monday,word
borneodictionary.com,aco sinih,today,word
borneodictionary.com,aco teluh,Wednesday,word
borneodictionary.com,ada,chin,word
borneodictionary.com,ada,ghost,word
borneodictionary.com,alad,wall,word
borneodictionary.com,alem,yesterday,word
borneodictionary.com,ali,quiet,word
borneodictionary.com,amung,all,word
borneodictionary.com,anak mate,orphan,word
borneodictionary.com,anak sut,child,word
borneodictionary.com,anam,"six, 6",word
borneodictionary.com,anid aco,every day,word
borneodictionary.com,anid kereb,every moment,word
borneodictionary.com,anun,what,word
borneodictionary.com,anun bala?,how are you?,word
borneodictionary.com,apat,"four, 4",word
borneodictionary.com,apo,roof,word
borneodictionary.com,apui ngelak,cooking fire,word
borneodictionary.com,ara,"dislike, don't want, refuse",word
borneodictionary.com,arang uned,in between,word
borneodictionary.com,asal,if,word
borneodictionary.com,atau,or,word
borneodictionary.com,awan decur,wife,word
borneodictionary.com,awan delai,husband,word
borneodictionary.com,ayat,words,word
borneodictionary.com,ba,very,word
borneodictionary.com,ba lalid,very naughty,word
borneodictionary.com,ba rayeh uni,loud sound,sentence
borneodictionary.com,ba ulai,late,word
borneodictionary.com,bala do,I am fine,word
borneodictionary.com,balih,a lie,word
borneodictionary.com,bang,in,word
borneodictionary.com,bang dalem,inside,word
borneodictionary.com,baru,"new, again",word
borneodictionary.com,baruh,are you,word
borneodictionary.com,bata' langit,blue,word
borneodictionary.com,bata' uduh,green,word
borneodictionary.com,batek,stomach,word
borneodictionary.com,batuh,"rock, stone",word
borneodictionary.com,batuh rayeh,"a stone, a rock",word
borneodictionary.com,bawang rayeh,town,word
borneodictionary.com,baya,"accompany, come with, follow",word
borneodictionary.com,belajar,learn,word
borneodictionary.com,bengil,ankle,word
borneodictionary.com,bera,husked but uncooked rice,word
borneodictionary.com,berat,heavy,word
borneodictionary.com,beré,"give, the act of giving",word
borneodictionary.com,beren,given,word
borneodictionary.com,beruh,again,word
borneodictionary.com,bibir,lips,word
borneodictionary.com,binaweh,"things, posessions",word
borneodictionary.com,birar,yellow,word
borneodictionary.com,bire,gave,word
borneodictionary.com,bor,full stomach,word
borneodictionary.com,bua,fruit,word
borneodictionary.com,bua' bong,banana,word
borneodictionary.com,bua' buyo,"citrus fruit e.g. orange, lemon",word
borneodictionary.com,bua' kukud,toes,word
borneodictionary.com,bua' ticu,fingers,word
borneodictionary.com,buda,white,word
borneodictionary.com,bukuh,book,word
borneodictionary.com,bulan,month,word
borneodictionary.com,bulan dueh,February,word
borneodictionary.com,bulan enem,June,word
borneodictionary.com,bulan epat,April,word
borneodictionary.com,bulan limeh,May,word
borneodictionary.com,bulan liwa,September,word
borneodictionary.com,bulan pulu,October,word
borneodictionary.com,bulan pulu' aceh,November,sentence
borneodictionary.com,bulan pulu' dueh,December,sentence
borneodictionary.com,bulan satu,January,word
borneodictionary.com,bulan teluh,March,word
borneodictionary.com,bulan tudu,July,word
borneodictionary.com,bulan waluh,August,word
borneodictionary.com,buri,"speak, talk",word
borneodictionary.com,dat,ugly,word
borneodictionary.com,dat taga,ugly,word
borneodictionary.com,decur,female,word
borneodictionary.com,ding rumah,family,word
borneodictionary.com,do pekak,good morning,word
borneodictionary.com,do,good,word
borneodictionary.com,dueh,"two, 2",word
borneodictionary.com,fa,1) drink; 2) river,word
borneodictionary.com,fa,water,word
borneodictionary.com,feh,already,word
borneodictionary.com,fuk,hair,word
borneodictionary.com,gagap,shocked,word
borneodictionary.com,gelas,glass (drinking glass),word
borneodictionary.com,ibalih,a liar,word
borneodictionary.com,icung,nose,word
borneodictionary.com,idan,when,word
borneodictionary.com,ideh,they,word
borneodictionary.com,ikai,we,word
borneodictionary.com,iko,you,word
borneodictionary.com,ire,who,word
borneodictionary.com,iring,"next to, beside",word
borneodictionary.com,itun,question,word
borneodictionary.com,jaban,toilet,word
borneodictionary.com,ju,bathe,word
borneodictionary.com,kabun,garden,word
borneodictionary.com,kamang,"crawl, crawling",word
borneodictionary.com,kan,"eat, ate",word
borneodictionary.com,kareb,when,word
borneodictionary.com,kated,back,word
borneodictionary.com,kayuh mulun,tree,word
borneodictionary.com,kelaluh,physical fighting,word
borneodictionary.com,keli,know,word
borneodictionary.com,kelupan,forget,word
borneodictionary.com,kemuh,"to you, with you",word
borneodictionary.com,kereb,can,word
borneodictionary.com,kereb na,that time,word
borneodictionary.com,kerusi,chair,word
borneodictionary.com,ki,(in front of the object to which a verb is acting),word
borneodictionary.com,kinanak cur,sister,word
borneodictionary.com,kinanak cur rayeh,older sister,sentence
borneodictionary.com,kinanak cur sut,younger sister,sentence
borneodictionary.com,kinanak lai,brother,word
borneodictionary.com,kinanak lai rayeh,older brother,sentence
borneodictionary.com,kinanak lai sut,younger brother,sentence
borneodictionary.com,kira-kira,"roughly, approximately",word
borneodictionary.com,kiyung,face,word
borneodictionary.com,kosong,empty,word
borneodictionary.com,ku wih,to me,word
borneodictionary.com,kuan,for,word
borneodictionary.com,kudan,for what,word
borneodictionary.com,kudeng,if,word
borneodictionary.com,kudeng peh,how,word
borneodictionary.com,kukud,legs,word
borneodictionary.com,kulat,awake,word
borneodictionary.com,kuman,eat,word
borneodictionary.com,kupi,coffee,word
borneodictionary.com,kuwih,"to me, with me",word
borneodictionary.com,laba,walk past,word
borneodictionary.com,lai,male,word
borneodictionary.com,lai lai mehr pad,similar,sentence
borneodictionary.com,lak,year,word
borneodictionary.com,lal,chicken,word
borneodictionary.com,lalan,path,word
borneodictionary.com,lalid,ears,word
borneodictionary.com,lapung,light,word
borneodictionary.com,laput,cloud,word
borneodictionary.com,lati,rice paddy,word
borneodictionary.com,lawe,go (direction),word
borneodictionary.com,lawe siri siri,straight ahead,sentence
borneodictionary.com,lawid,fish,word
borneodictionary.com,le miud,turn,word
borneodictionary.com,le miud pa kabing,turn left,sentence
borneodictionary.com,le miud pa tinueh,turn right,sentence
borneodictionary.com,lek,maybe,word
borneodictionary.com,lemanguy,to swim,word
borneodictionary.com,lengen,arms,word
borneodictionary.com,ligan,clean,word
borneodictionary.com,limeh,"five, 5",word
borneodictionary.com,liwa,"nine, 9",word
borneodictionary.com,lubed,return (from somewhere),word
borneodictionary.com,lubid,to lie down,word
borneodictionary.com,lufa,snake gord,word
borneodictionary.com,luk kenen,food,word
borneodictionary.com,luk kereb dih,last one,sentence
borneodictionary.com,luk sapeh,which one,word
borneodictionary.com,luk sulad,last (the last one),word
borneodictionary.com,luk sulud,last one,word
borneodictionary.com,maca,to read,word
borneodictionary.com,mada,"tell, telling",word
borneodictionary.com,mada,to tell,word
borneodictionary.com,madel,blunt,word
borneodictionary.com,mado,far,word
borneodictionary.com,mado rat tunge,far from here,sentence
borneodictionary.com,madu,forehead,word
borneodictionary.com,main,tasty,word
borneodictionary.com,mait,sick,word
borneodictionary.com,makai,use,word
borneodictionary.com,mala,tell,word
borneodictionary.com,mangud,young,word
borneodictionary.com,masi,"not many, a few, less",word
borneodictionary.com,masih,"still, still time",word
borneodictionary.com,masui,sell,word
borneodictionary.com,mateh co,sun,word
borneodictionary.com,mawa,love,word
borneodictionary.com,mawang niat,happy,word
borneodictionary.com,mawer,fast,word
borneodictionary.com,maya,follow,word
borneodictionary.com,me mawer,go faster,word
borneodictionary.com,me mulai,go slower,word
borneodictionary.com,me tecu,straight ahead,word
borneodictionary.com,me,"to, go to, going",word
borneodictionary.com,me' tunge,come,word
borneodictionary.com,me' yapeh ko,where are you going?,sentence
borneodictionary.com,mebeneh,short,word
borneodictionary.com,mefeh,falling,word
borneodictionary.com,megai,always,word
borneodictionary.com,mekatu,good,word
borneodictionary.com,mekupit,shrinking,word
borneodictionary.com,mekuu,brave,word
borneodictionary.com,melau,hungry,word
borneodictionary.com,melau,hot,word
borneodictionary.com,mele,cheap,word
borneodictionary.com,melemuh,fat,word
borneodictionary.com,melih,buy,word
borneodictionary.com,menad,climbing,word
borneodictionary.com,meno,steal,word
borneodictionary.com,meran,lite,word
borneodictionary.com,meratu,one hundred,word
borneodictionary.com,merburi,muddy,word
borneodictionary.com,mere,give,word
borneodictionary.com,meribu,one thousand,word
borneodictionary.com,merimud,smiling,word
borneodictionary.com,meriruh,laugh,word
borneodictionary.com,merita,tall,word
borneodictionary.com,meru,wash,word
borneodictionary.com,merugu,thin,word
borneodictionary.com,meselud,slippery,word
borneodictionary.com,mesia,red,word
borneodictionary.com,mesido,arrogant,word
borneodictionary.com,mesiri,straight (ahead),word
borneodictionary.com,mesti,should,word
borneodictionary.com,mesusa niat,sad,word
borneodictionary.com,metadem,sharp (object),word
borneodictionary.com,metaga,beautiful,word
borneodictionary.com,metu,correct (your answer is correct),word
borneodictionary.com,metutun,shallow,word
borneodictionary.com,miek,(I) can,word
borneodictionary.com,migu,week,word
borneodictionary.com,mija,table,word
borneodictionary.com,mikat,1) expensive; 2) difficult,word
borneodictionary.com,misu,change,word
borneodictionary.com,mitek,close,word
borneodictionary.com,mitem,black,word
borneodictionary.com,mo,yes,word
borneodictionary.com,mo umak,please come in,word
borneodictionary.com,mucih,late,word
borneodictionary.com,mudan,it is raining now,word
borneodictionary.com,muit,bring,word
borneodictionary.com,mula,"many, a lot, abundant",word
borneodictionary.com,mulai,"slow, slowly",word
borneodictionary.com,mulun,alive,word
borneodictionary.com,muned,correct (your answer is correct),word
borneodictionary.com,muneng,"close, near",word
borneodictionary.com,muneng tunge,close to here,word
borneodictionary.com,museh,angry,word
borneodictionary.com,muto ro,I'm sorry,word
borneodictionary.com,n'rawe,think,word
borneodictionary.com,na luk idih,"none, zero, 0, non-existent",sentence
borneodictionary.com,na mekudeh,"no worries, no problem",word
borneodictionary.com,na mepad,different,word
borneodictionary.com,na miek,"must not, may not",word
borneodictionary.com,na mula,"not many, a few",word
borneodictionary.com,na teh,not yet,word
borneodictionary.com,na tupu,never,word
borneodictionary.com,naa nengaweh,single,word
borneodictionary.com,nabud,finish,word
borneodictionary.com,najar,teaching,word
borneodictionary.com,nalan,walking,word
borneodictionary.com,nalan-nalan,walk around,word
borneodictionary.com,nalap,1) accept; 2) take,word
borneodictionary.com,nam,no,word
borneodictionary.com,namai,weeding,word
borneodictionary.com,nan,"have, there is",word
borneodictionary.com,nanak,born,word
borneodictionary.com,nanem,bury,word
borneodictionary.com,nangi,cry,word
borneodictionary.com,napeh,later,word
borneodictionary.com,napeh atun,wait a minute,word
borneodictionary.com,naru,"do, make (doing, making)",word
borneodictionary.com,nate,"dead (animal, plant)",word
borneodictionary.com,natek,close (eg close the door),word
borneodictionary.com,nayud,writing,word
borneodictionary.com,necan,(to leave something behind),word
borneodictionary.com,necing,arrive,word
borneodictionary.com,nefa,tomorrow,word
borneodictionary.com,neh,that,word
borneodictionary.com,nehrninger,listen,word
borneodictionary.com,nehrniyer,look,word
borneodictionary.com,nekap,searching,word
borneodictionary.com,nekinih,now,word
borneodictionary.com,nelak,cooking,word
borneodictionary.com,nemug,keep,word
borneodictionary.com,nengan,plus,word
borneodictionary.com,nengaweh,married,word
borneodictionary.com,nerat,dead (human),word
borneodictionary.com,nerawe,remember,word
borneodictionary.com,nered,old,word
borneodictionary.com,nerung,put,word
borneodictionary.com,ngaceku,because,word
borneodictionary.com,ngait,wait,word
borneodictionary.com,ngait segageh,wait a minute,word
borneodictionary.com,ngan,"and, with",word
borneodictionary.com,ngeranih,harvesting,word
borneodictionary.com,ngukab,to open door,word
borneodictionary.com,nibu,planting,word
borneodictionary.com,nier,see,word
borneodictionary.com,nih,this,word
borneodictionary.com,nikini tutu,just now,word
borneodictionary.com,nimet kerita,driving,word
borneodictionary.com,nimun,start,word
borneodictionary.com,ninger,listening,word
borneodictionary.com,nirup,drink,word
borneodictionary.com,niyer,looking,word
borneodictionary.com,nolak,minus,word
borneodictionary.com,nolong,help,word
borneodictionary.com,non,what,word
borneodictionary.com,non pian ko,what do you want?,sentence
borneodictionary.com,non ruan ko,what are you doing,sentence
borneodictionary.com,nua,"answer, reply (also return)",word
borneodictionary.com,nuba,cooked rice,word
borneodictionary.com,nuda,riding,word
borneodictionary.com,nudan,it was raining,word
borneodictionary.com,nudeh,why,word
borneodictionary.com,nukab,open,word
borneodictionary.com,nukat tana,digging,word
borneodictionary.com,nutun,try,word
borneodictionary.com,oto,joke,word
borneodictionary.com,pa atun,infront,word
borneodictionary.com,pa beneh,"below, down, under",word
borneodictionary.com,pa kabing,left,word
borneodictionary.com,pa keted,behind,word
borneodictionary.com,pa lun,"up, over, above, on top (e.g. over the mountain)",word
borneodictionary.com,pa tinueh,right,word
borneodictionary.com,pad,the same,word
borneodictionary.com,pad dengan,equals,word
borneodictionary.com,pade,unhusked rice (either in the field or already harvested),word
borneodictionary.com,papu,meet (to meet you),word
borneodictionary.com,pebaya,to be accompanied,word
borneodictionary.com,peburi,"to speak, to talk",word
borneodictionary.com,pegkung,mountain,word
borneodictionary.com,pehr mung,together (eating etc),word
borneodictionary.com,pelaba,too,word
borneodictionary.com,pengeh,"already, done",word
borneodictionary.com,penu,full,word
borneodictionary.com,pesial,"dispute, argument",word
borneodictionary.com,pian,"need, want, like",word
borneodictionary.com,pingit,cheek,word
borneodictionary.com,pudut,building,word
borneodictionary.com,pukul,hour,word
borneodictionary.com,puluh,"ten, 10",word
borneodictionary.com,raa,chin,word
borneodictionary.com,range,there,word
borneodictionary.com,range yang,"out, outside",word
borneodictionary.com,rapur,kitchen,word
borneodictionary.com,rat yapeh,from,word
borneodictionary.com,rat yapeh ko,where do you come from,sentence
borneodictionary.com,raut,joke,word
borneodictionary.com,rayeh,big,word
borneodictionary.com,rayeh pipang,wide,word
borneodictionary.com,repar,feet,word
borneodictionary.com,rideh,theirs,word
borneodictionary.com,riki,fried,word
borneodictionary.com,riko,yours,word
borneodictionary.com,rimud,smile,word
borneodictionary.com,riweh,mine,word
borneodictionary.com,riyer,neck,word
borneodictionary.com,ro,"good, healthy",word
borneodictionary.com,Ro lawe,good bye,word
borneodictionary.com,Ro malem,Good night,word
borneodictionary.com,Ro meco,Good evening,word
borneodictionary.com,Ro pekak,Good morning,word
borneodictionary.com,rudap,sleep,word
borneodictionary.com,rueb,waterfall,word
borneodictionary.com,ruk,chest,word
borneodictionary.com,ruma,house,word
borneodictionary.com,ruma ju,bathroom,word
borneodictionary.com,ruma sideng,church,word
borneodictionary.com,rurum,friend,word
borneodictionary.com,ruwan,valley,word
borneodictionary.com,sayur,vegetable,word
borneodictionary.com,sebuang,some,word
borneodictionary.com,semuet,"enter, come in",word
borneodictionary.com,sepengeh nih,next (the next one),word
borneodictionary.com,serebpu,sometimes,word
borneodictionary.com,setangal,half,word
borneodictionary.com,suit,a bird,word
borneodictionary.com,surud,hill,word
borneodictionary.com,susu,milk,word
borneodictionary.com,sut,small,word
borneodictionary.com,takep,room,word
borneodictionary.com,takep rudap,bedroom,word
borneodictionary.com,tamam,father,word
borneodictionary.com,taman,father,word
borneodictionary.com,taman pinaken,uncle,word
borneodictionary.com,taman tinan,parents,word
borneodictionary.com,tana,floor,word
borneodictionary.com,tang,mouth,word
borneodictionary.com,tau,us,word
borneodictionary.com,teluh,"three, 3",word
borneodictionary.com,temubu,growing,word
borneodictionary.com,teneb,cold,word
borneodictionary.com,tenga,door,word
borneodictionary.com,tepun cur,grandmother,word
borneodictionary.com,tepun lai,grandfather,word
borneodictionary.com,terawe,"opinion, think",word
borneodictionary.com,terur,egg,word
borneodictionary.com,teteb,serious (dignify),word
borneodictionary.com,tetel,stove,word
borneodictionary.com,ticu,hands,word
borneodictionary.com,tinam,mother,word
borneodictionary.com,tinan,mother,word
borneodictionary.com,tinan pinaken,aunty,word
borneodictionary.com,to,again,word
borneodictionary.com,todo,sit,word
borneodictionary.com,tok,also,word
borneodictionary.com,tudu,"seven, 7",word
borneodictionary.com,tudung,shoulder,word
borneodictionary.com,tulud,depart,word
borneodictionary.com,tunge,here,word
borneodictionary.com,tuped,to stand up,word
borneodictionary.com,udan,rain,word
borneodictionary.com,udeng-udeng,usually,word
borneodictionary.com,ugam,matt,word
borneodictionary.com,uka uka na,earlier,sentence
borneodictionary.com,uko,dog,word
borneodictionary.com,ulai,slow,word
borneodictionary.com,uluh,head,word
borneodictionary.com,umak,come up,word
borneodictionary.com,unih,sound,word
borneodictionary.com,unub,dive,word
borneodictionary.com,upis,office,word
borneodictionary.com,upun,"running, to run",word
borneodictionary.com,uput,jump,word
borneodictionary.com,using,cat,word
borneodictionary.com,waluh,"eight, 8",word
borneodictionary.com,wang,meat,word
borneodictionary.com,wen deh,to them,word
borneodictionary.com,wih,me,word
borneodictionary.com,wih pian,I want …,word
borneodictionary.com,yapeh,where is,word
borneodictionary.com,yeh,"he, she",word
longsemadoh.wordpress.com,"Hello! Ngadanku John, rat England","Hello!I am John, from England",sentence
longsemadoh.wordpress.com,Ame yapeh iko?,Where are you going?,sentence
longsemadoh.wordpress.com,Ui ame ngikak tunge,I come here for a visit,sentence
longsemadoh.wordpress.com,Do mepapu!Mawang niat papu nemuh,"Welcome, glad to meet you",sentence
longsemadoh.wordpress.com,Ide ngadan mu?,What is your name?,sentence
longsemadoh.wordpress.com,Ngadan ku Balang,My name is Balang,sentence
longsemadoh.wordpress.com,Yapeh Hotel di?,Where is the hotel?,sentence
longsemadoh.wordpress.com,Dei neh ieh,It is there,sentence
longsemadoh.wordpress.com,ui,I,word
longsemadoh.wordpress.com,mu,you – iko,word
longsemadoh.wordpress.com,kai,we,word
longsemadoh.wordpress.com,ieh,he/she,word
longsemadoh.wordpress.com,ideh,they,word
longsemadoh.wordpress.com,ame dei,go(there),word
longsemadoh.wordpress.com,ame tunge,come here,word
longsemadoh.wordpress.com,dei,there,word
longsemadoh.wordpress.com,tunge/ianih,here,word
longsemadoh.wordpress.com,yapeh,where,word
longsemadoh.wordpress.com,name,ngadan,word
longsemadoh.wordpress.com,mawang niat,glad,word
longsemadoh.wordpress.com,papu namu,meet you,word
longsemadoh.wordpress.com,anun ineh?,What is that,word
longsemadoh.wordpress.com,anun ruen mu?,What are you doing?,sentence
longsemadoh.wordpress.com,ide ngadan mu?,What is your name?,sentence
longsemadoh.wordpress.com,kuman,Eat,word
longsemadoh.wordpress.com,ngirup,drink,word
longsemadoh.wordpress.com,tudo,sit,word
longsemadoh.wordpress.com,tuped,stand,word
longsemadoh.wordpress.com,nalan,walk,word
longsemadoh.wordpress.com,upun,run,word
longsemadoh.wordpress.com,rudap,sleep,word
longsemadoh.wordpress.com,nakap,look for,word
longsemadoh.wordpress.com,pian,want/like to,word
longsemadoh.wordpress.com,ara,don’t want,word
longsemadoh.wordpress.com,do’,good,word
longsemadoh.wordpress.com,dat,bad,word
longsemadoh.wordpress.com,melau’,hot,word
longsemadoh.wordpress.com,meteneb,cold,word
longsemadoh.wordpress.com,abpa,water,word
longsemadoh.wordpress.com,luk kanen/nuba’,food,word
longsemadoh.wordpress.com,museh,angry,word
longsemadoh.wordpress.com,mawang niat,happy,word
longsemadoh.wordpress.com,dat niat,sad,word
longsemadoh.wordpress.com,merur,tired,word
longsemadoh.wordpress.com,malau,hungry,word
longsemadoh.wordpress.com,meparing,thirsty,word
longsemadoh.wordpress.com,peburi,Speak,word
longsemadoh.wordpress.com,mada’,tell,word
longsemadoh.wordpress.com,pegayam,conversation,word
longsemadoh.wordpress.com,nier,see,word
longsemadoh.wordpress.com,ninger,hear,word
longsemadoh.wordpress.com,ngerawe,think,word
longsemadoh.wordpress.com,ruma’,house,word
longsemadoh.wordpress.com,dalan,road,word
longsemadoh.wordpress.com,abpa’,river/water,word
longsemadoh.wordpress.com,maca’,read,word
longsemadoh.wordpress.com,nani,sing,word
longsemadoh.wordpress.com,nawar,call,word
longsemadoh.wordpress.com,ngitek,shut(door),word
longsemadoh.wordpress.com,ngukab,open(door),word
longsemadoh.wordpress.com,marot,play,word
longsemadoh.wordpress.com,telubid,lie down,word
longsemadoh.wordpress.com,sembayang,Pray,word
longsemadoh.wordpress.com,buku ago,Bible,word
longsemadoh.wordpress.com,tebubpun,worship service,word
longsemadoh.wordpress.com,ngubur,praise,word
longsemadoh.wordpress.com,mawa,love,word
longsemadoh.wordpress.com,awang,joy,word
longsemadoh.wordpress.com,mekatu,kind,word
longsemadoh.wordpress.com,mulai niat,patient,word
longsemadoh.wordpress.com,metaga,beautiful,word
longsemadoh.wordpress.com,dat taga,ugly,word
longsemadoh.wordpress.com,mekadang,long,word
longsemadoh.wordpress.com,mekamu’,short,word
longsemadoh.wordpress.com,medita’,tall/high,word
longsemadoh.wordpress.com,medalem,deep,word
longsemadoh.wordpress.com,metutun,shallow,word
longsemadoh.wordpress.com,rayeh,big,word
longsemadoh.wordpress.com,isut,small,word
longsemadoh.wordpress.com,rayeh pipang,wide,word
longsemadoh.wordpress.com,metadem,sharp(object),word
longsemadoh.wordpress.com,mengadel,blunt,word
longsemadoh.wordpress.com,mesia,red,word
longsemadoh.wordpress.com,mebirar,yellow,word
longsemadoh.wordpress.com,mitem,black,word
longsemadoh.wordpress.com,mebuda’,white,word
longsemadoh.wordpress.com,bata don,green,word
longsemadoh.wordpress.com,bata langit,blue,word
longsemadoh.wordpress.com,Iko metaga,You are beautiful,word
longsemadoh.wordpress.com,Ui pian nemu,I like you,sentence
longsemadoh.wordpress.com,Ui mawa nemu,I love you,sentence
longsemadoh.wordpress.com,Ui na pian nemu,I don’t like you,sentence
longsemadoh.wordpress.com,Ui ara kuman,I don’t want to eat,sentence
longsemadoh.wordpress.com,Ui pelaba mawang niat aco sini,I am very happy today,sentence
longsemadoh.wordpress.com,Ui pian papu’ nemu,I want to meet you,sentence
longsemadoh.wordpress.com,iko pelaba mekatu,You are very kind,sentence
longsemadoh.wordpress.com,suit,bird,word
longsemadoh.wordpress.com,uko,dog,word
longsemadoh.wordpress.com,using,cat,word
longsemadoh.wordpress.com,menipeh,snake,word
longsemadoh.wordpress.com,amek,goat,word
longsemadoh.wordpress.com,lawid,fish,word
longsemadoh.wordpress.com,lal,chicken,word
longsemadoh.wordpress.com,barek,pig,word
longsemadoh.wordpress.com,kerubau,buffalo,word
longsemadoh.wordpress.com,sapi,cow,word
longsemadoh.wordpress.com,kenui,eagle,word
longsemadoh.wordpress.com,balang,tiger,word
longsemadoh.wordpress.com,singa,lion,word
longsemadoh.wordpress.com,labo,rat,word
longsemadoh.wordpress.com,becuk/kuyad,monkey,word
longsemadoh.wordpress.com,pelanuk,mousedeer,word
longsemadoh.wordpress.com,talau,barking deer,word
longsemadoh.wordpress.com,payo,deer,word
longsemadoh.wordpress.com,terutung,procupine,word
longsemadoh.wordpress.com,lematek,leech,word
longsemadoh.wordpress.com,tukung,mosquito,word
longsemadoh.wordpress.com,laled,fly,word
longsemadoh.wordpress.com,pegkung,Mountain,word
longsemadoh.wordpress.com,surud,hill,word
longsemadoh.wordpress.com,alung,valley,word
longsemadoh.wordpress.com,tana’ reked,plain,word
longsemadoh.wordpress.com,irang,sloop,word
longsemadoh.wordpress.com,rengeb,cliff,word
longsemadoh.wordpress.com,rueb,waterfall,word
longsemadoh.wordpress.com,abpa,river,word
longsemadoh.wordpress.com,takeh/takung,lake,word
longsemadoh.wordpress.com,abpa nanap,sea,word
longsemadoh.wordpress.com,batu rayeh,rock,word
longsemadoh.wordpress.com,uduh,grass,word
longsemadoh.wordpress.com,kayuh,trees,word
longsemadoh.wordpress.com,laput,clouds,word
longsemadoh.wordpress.com,bulan,moon,word
longsemadoh.wordpress.com,mateh aco,sun,word
longsemadoh.wordpress.com,langit/ arang gawa’,sky,sentence
longsemadoh.wordpress.com,udan,rain,word
longsemadoh.wordpress.com,melaput,cloudy,word
longsemadoh.wordpress.com,mudan,rainny,word
longsemadoh.wordpress.com,mula’,many,word
longsemadoh.wordpress.com,masi’,few,word
longsemadoh.wordpress.com,na luk idih,none,sentence
